n,g,g_prev,dt,v,v_prev,a_raw,a,j,g_pred
0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,0.0
1,0.08,0.0,0.0197,4.0604,0.0,206.0889,15.7619,800.0,0.1644
2,0.18,0.08,0.0201,4.9798,4.0604,45.7855,31.8266,800.0,0.286
3,0.35,0.18,0.0201,8.4534,4.9798,172.7266,47.9148,800.0,0.5287
4,0.58,0.35,0.0202,11.4054,8.4534,146.3836,64.0475,800.0,0.8209
5,0.82,0.58,0.0201,11.9202,11.4054,25.5682,47.9404,-800.0,1.068
6,0.94,0.82,0.0202,5.9466,11.9202,-296.02,31.7966,-800.0,1.0653
7,0.9,0.94,0.0201,-1.9899,5.9466,-394.8116,15.7152,-800.0,0.8633
8,0.84,0.9,0.0201,-2.9804,-1.9899,-49.2043,-0.39,-800.0,0.7803
9,0.79,0.84,0.0201,-2.486,-2.9804,24.5838,15.7004,800.0,0.7434
10,0.76,0.79,0.0201,-1.4937,-2.486,49.4056,31.7683,800.0,0.7365
11,0.81,0.76,0.0201,2.4912,-1.4937,198.5375,47.825,800.0,0.8694
12,0.88,0.81,0.0201,3.4836,2.4912,49.3911,49.3911,77.9393,0.9596
13,0.97,0.88,0.0201,4.484,3.4836,49.8402,49.8402,22.3769,1.0696
14,1.0,0.97,0.0201,1.4921,4.484,-148.8047,33.7551,-800.0,1.0366
15,0.91,1.0,0.0201,-4.4769,1.4921,-296.918,17.6726,-800.0,0.824
16,0.74,0.91,0.0201,-8.4593,-4.4769,-198.1621,1.5955,-800.0,0.5711
17,0.48,0.74,0.0202,-12.0,-8.4593,-175.5928,-14.5361,-800.0,0.2371
18,0.23,0.48,0.0202,-12.0,-12.0,0.0,0.0,721.2465,-0.01
19,0.12,0.23,0.0201,-5.4697,-12.0,324.7165,16.0885,800.0,0.0138
20,0.16,0.12,0.0201,1.9873,-5.4697,370.4797,32.1909,800.0,0.2062
21,0.32,0.16,0.0202,7.9391,1.9873,295.3212,48.3138,800.0,0.4884
22,0.57,0.32,0.0201,12.0,7.9391,202.045,64.3932,800.0,0.8229
23,0.8,0.57,0.0201,11.449,12.0,-27.4277,48.3219,-800.0,1.0386
24,0.93,0.8,0.0201,6.4683,11.449,-247.8204,32.2435,-800.0,1.0658
25,0.89,0.93,0.0201,-1.9857,6.4683,-419.6881,16.1286,-800.0,0.8535
26,0.86,0.89,0.0201,-1.4905,-1.9857,24.6059,24.6059,421.1717,0.8351
27,0.83,0.86,0.0201,-1.4933,-1.4905,-0.139,8.5337,-800.0,0.8018
28,0.85,0.83,0.0201,0.9954,-1.4933,123.8603,24.6077,800.0,0.8748
29,0.9,0.85,0.0201,2.4901,0.9954,74.4382,40.6714,800.0,0.9579
